BA,AUROC
0.8820560745285347,0.9459166821467921
0.8806478232651529,0.9537418492865907
0.8962235450406141,0.9571802334425165
0.8911967183695704,0.9596045345147746
0.8690676040814196,0.9461440460629726
0.9055434541970651,0.9634215233970437
0.8728704201356847,0.948589660382716
0.8814064860918154,0.9548985407307501
0.8852237538929906,0.950307175575628
0.8773028622629047,0.948198246929199
0.8634678365400519,0.936715125821613
0.8758296488221395,0.954198821632475
0.8865117735343927,0.9481789556945981
0.8966217686745823,0.9627011086830077
0.8997463431024542,0.9634074788693494
0.8829066332126307,0.9534705593457125
0.8792876808875277,0.9499954366145764
0.8626325916986949,0.9469671233432375
0.8945592950043719,0.9556666798183038
0.8871672264597363,0.9572614218786393
0.8888039249116361,0.958299086206063
0.9025381296204278,0.9622633377615074
0.8854114906044964,0.9617905203273469
0.8739211945419858,0.9451640369756156
0.8653333876368672,0.9355930391354538
0.878617578127982,0.953387857304626
0.905681795134417,0.9630137611422661
0.8869015627059862,0.9553257243106753
0.8799558868636781,0.9512782754894635
0.8709347123036959,0.9488269800319967
0.8869921140422976,0.9548714046878062
0.8915143848049406,0.9577595298698928
0.88292381174514,0.9523620589995031
0.8706394368384143,0.9455038583085041
0.8862241268055395,0.9579817921948003
0.8918079175117118,0.9613336149443861
0.8911727647017067,0.9542862865197596
0.8907557219782782,0.9544814980073217
0.8776172288143036,0.9538962997656887
0.8628566373979104,0.9439536621157759
0.8967439570254748,0.9580229886227439
0.876301198649238,0.9463092352780116
0.8755152822707406,0.9542736104491385
0.8899774343362092,0.9528310171603409
0.8819610872755366,0.9574879694338984
0.8805680739585269,0.9490021044488608
0.8863545902586932,0.9604341807709079
0.8893955796006531,0.9580815020636644
0.8865575844430558,0.9527342889906797
0.8886436037861443,0.952810653335149
