BA,AUROC
0.8715834514488126,0.9447435855024593
0.8691252750707325,0.9458731784486518
0.8881045218079119,0.9517130441837118
0.8755165729718585,0.9487837069034641
0.8676147724278898,0.9420789174590529
0.8830822160075527,0.9524806795308631
0.8683121051404001,0.9454954315441483
0.880019090162355,0.9479089553903722
0.8711345323383908,0.9440172990695006
0.8696199728397482,0.9438251154692525
0.8575336470073313,0.9326983513030024
0.8518959598827718,0.9444623317885428
0.8734446461348125,0.9428448651773128
0.8888007870618437,0.9595211701053955
0.8944212028147898,0.9567574172051414
0.8805496250416691,0.9484371858912862
0.859358996460841,0.9468872640983257
0.8519986360548012,0.935704434596546
0.8937542875397573,0.9542870306615571
0.8842997453249112,0.9519935548493268
0.8891181926677643,0.9537364782162825
0.8791514131283529,0.9534750180000202
0.8839968411232013,0.9524571295291601
0.856902764007448,0.938754522996486
0.8693437884605839,0.9454109483560664
0.8768522076355614,0.9553688892734181
0.8835525448479378,0.9536917788076381
0.8769508472685603,0.9488723367575624
0.8662001229465945,0.9376548764361269
0.8791508793990634,0.9440249355039473
0.8679324744196225,0.9427065706135475
0.8880290991877173,0.9534902292847655
0.8789942298526534,0.949303323158674
0.8537781895795761,0.9361835900660169
0.8914538116626172,0.9545543058671998
0.8875653028039809,0.958774941027083
0.8780511301984566,0.9473499406759894
0.8833681080204034,0.9484007869304641
0.8820991794651187,0.9501697197555831
0.8419277160570035,0.9348624869066968
0.8848571290431756,0.9498660226934401
0.859700616564075,0.9430312034154403
0.8671091460384743,0.9459657137641846
0.8810752608796918,0.9440911179358209
0.8775217733837168,0.9527546528158716
0.8769355458461945,0.9473086211152306
0.8859312094999543,0.9545195262191846
0.8687082323473041,0.9519855797020617
0.8779506864518198,0.9475135133071234
0.8780505964691673,0.944268028667175
