BA,AUROC
0.8880611536486678,0.9577942906355024
0.8870299690427452,0.9471205719529289
0.8921720749427744,0.9612240216196595
0.8777308180983977,0.955389284958001
0.8615757589457267,0.9452720199120433
0.8762778528932862,0.9474220734140061
0.8776060311185956,0.9446034042896471
0.896845284312638,0.958003509161129
0.8704635521181014,0.9517944115600641
0.8856231680945169,0.9577773256879929
0.8899128869337933,0.9640399673090613
0.8804969294840121,0.9546808982645786
0.8793095624640765,0.9473411549980336
0.8754651151065354,0.9513003055390293
0.872216822260901,0.946609452192761
0.875363912668492,0.9483159270404531
0.8863890177373978,0.9567770674303462
0.8881398168782584,0.9528847220401536
0.8827166251550383,0.9567808488539765
0.8754756361280016,0.9484278577725537
0.8801376183069257,0.9545364954660781
0.8841075588137421,0.9536510905625749
0.8710887474916557,0.9469768778549749
0.8969700712924402,0.955848097691819
0.885984839922542,0.9576843961210697
0.886185567528005,0.956040479517319
0.8890618540067965,0.9577614980487853
0.8828886799302201,0.9402623299619841
0.8634773719609958,0.9435660337403826
0.894930566543849,0.9630416600736905
0.8794038297610574,0.9531467539429365
0.8740111577206586,0.9503284796660246
0.8684474230858434,0.9405106434470449
0.8997834504734342,0.9609000796619911
0.8972512941070097,0.9573541194170052
0.886763057230485,0.9572732944908738
0.8806689842591939,0.9535389083282075
0.8890933658703828,0.955662807933931
0.8800753007492261,0.9494020308765845
0.8745375498240617,0.9476567935280835
0.8697610071420412,0.9393008106197847
0.8788091540703244,0.9500108400810736
0.8856705472476278,0.9580816585828232
0.8867331272877612,0.9538867993022013
0.886947414423171,0.9544343728886779
0.8885909376800731,0.9581872347156679
0.8667281358085692,0.9406379513759341
0.8694167280097611,0.9463163891942038
0.8962043330072906,0.9609416753219252
0.8910953382008333,0.9593596399356022
